scenario_id,lead_time_increase_pct,cost_increase_pct,capacity_reduction_pct,reliability_score,recovery_time_days,total_cost_impact,duration_days,duration_category,duration_factor,severity_level,severity_multiplier,num_affected_nodes,complexity_score,affected_nodes,disruption_types,root_causes
mock_scenario_0002,0.4,0.45,0.3625,0.71,96.0,0.585,80,long_term,1.5,low,0.5,4,0.92,"['Port of Los Angeles', 'German Automotive Region', 'Shenzhen Manufacturing Hub', 'Strait of Hormuz']","['Terrorist Attack', 'Resource Shortage', 'AI System Malfunction']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0003,0.7,0.4875,0.8125,0.35,171.45,0.6825,127,extended,2.0,low,0.5,3,0.7067,"['Taiwan Semiconductor Facilities', 'Shenzhen Manufacturing Hub', 'German Automotive Region']","['Cyberattack', 'Infrastructure Failure', 'Terrorist Attack']",['Root cause 0']
mock_scenario_0004,0.95,0.95,0.95,0.24,182.9,1.33,124,extended,2.0,extreme,2.0,3,0.64,"['Suez Canal', 'Australian Mining Region', 'Panama Canal']","['Pandemic Outbreak', 'Financial Collapse']","['Root cause 0', 'Root cause 1']"
mock_scenario_0005,0.95,0.95,0.95,0.24,79.65,1.235,54,long_term,1.5,high,1.5,2,0.4933,"['Port of Rotterdam', 'Taiwan Semiconductor Facilities']","['Geopolitical Sanction', 'Pandemic Outbreak']",['Root cause 0']
mock_scenario_0006,0.95,0.95,0.95,0.24,95.88,1.235,65,long_term,1.5,extreme,2.0,3,0.5733,"['Port of Los Angeles', 'Panama Canal', 'Taiwan Semiconductor Facilities']","['Labor Strike', 'Cyberattack']",['Root cause 0']
mock_scenario_0007,0.2875,0.3375,0.325,0.74,36.6,0.4388,32,long_term,1.5,low,0.5,3,0.5733,"['Suez Canal', 'Panama Canal', 'Port of Shanghai']","['Extreme Weather', 'Geopolitical Sanction']",['Root cause 0']
mock_scenario_0008,0.95,0.9,0.95,0.24,54.58,1.17,37,long_term,1.5,extreme,2.0,4,0.7867,"['Port of Shanghai', 'Suez Canal', 'Port of Rotterdam', 'Strait of Hormuz']","['Cyberattack', 'Terrorist Attack', 'Extreme Weather']",['Root cause 0']
mock_scenario_0009,0.4,0.3,0.4,0.68,190.8,0.42,159,extended,2.0,extreme,2.0,2,0.56,"['German Automotive Region', 'Taiwan Semiconductor Facilities']","['Terrorist Attack', 'Extreme Weather']","['Root cause 0', 'Root cause 1']"
mock_scenario_0000,0.95,0.95,0.95,0.24,53.1,1.235,36,long_term,1.5,extreme,2.0,4,0.7867,"['Taiwan Semiconductor Facilities', 'Port of Los Angeles', 'Port of Rotterdam', 'Shenzhen Manufacturing Hub']","['Extreme Weather', 'Infrastructure Failure', 'Satellite Network Failure']",['Root cause 0']
mock_scenario_0001,0.95,0.9,0.95,0.24,116.53,1.17,79,long_term,1.5,extreme,2.0,3,0.7733,"['Taiwan Semiconductor Facilities', 'Suez Canal', 'Port of Rotterdam']","['Satellite Network Failure', 'Cyberattack', 'Extreme Weather']","['Root cause 0', 'Root cause 1']"
mock_scenario_0002,0.95,0.95,0.95,0.24,39.83,1.14,27,medium_term,1.0,extreme,2.0,3,0.5733,"['Port of Rotterdam', 'Suez Canal', 'Shenzhen Manufacturing Hub']","['Geopolitical Sanction', 'Cyberattack']",['Root cause 0']
mock_scenario_0003,0.95,0.95,0.95,0.24,89.98,1.235,61,long_term,1.5,extreme,2.0,2,0.56,"['Australian Mining Region', 'German Automotive Region']","['AI System Malfunction', 'Labor Strike']","['Root cause 0', 'Root cause 1']"
mock_scenario_0004,0.1,0.075,0.1,0.92,12.6,0.09,12,medium_term,1.0,low,0.5,2,0.4933,"['Port of Shanghai', 'Strait of Hormuz']","['Terrorist Attack', 'Satellite Network Failure']",['Root cause 0']
mock_scenario_0005,0.95,0.95,0.95,0.24,25.08,1.14,17,medium_term,1.0,high,1.5,2,0.76,"['Australian Mining Region', 'Shenzhen Manufacturing Hub']","['Infrastructure Failure', 'Labor Strike', 'Resource Shortage']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0006,0.725,0.45,0.8,0.36,31.34,0.54,23,medium_term,1.0,medium,1.0,3,0.5733,"['Port of Rotterdam', 'Strait of Hormuz', 'Port of Shanghai']","['Cyberattack', 'AI System Malfunction']",['Root cause 0']
mock_scenario_0007,0.95,0.95,0.95,0.24,126.85,1.235,86,long_term,1.5,high,1.5,4,0.72,"['Strait of Hormuz', 'Australian Mining Region', 'Port of Los Angeles', 'German Automotive Region']","['Resource Shortage', 'Geopolitical Sanction']","['Root cause 0', 'Root cause 1']"
mock_scenario_0008,0.95,0.95,0.95,0.24,241.9,1.33,164,extended,2.0,high,1.5,3,0.84,"['Shenzhen Manufacturing Hub', 'Suez Canal', 'Port of Shanghai']","['Satellite Network Failure', 'Infrastructure Failure', 'Labor Strike']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0009,0.95,0.95,0.95,0.24,190.28,1.33,129,extended,2.0,extreme,2.0,3,0.7067,"['Shenzhen Manufacturing Hub', 'Australian Mining Region', 'Port of Rotterdam']","['Geopolitical Sanction', 'AI System Malfunction', 'Financial Collapse']",['Root cause 0']
mock_scenario_0000,0.95,0.9,0.95,0.24,32.45,1.08,22,medium_term,1.0,high,1.5,4,0.7867,"['Strait of Hormuz', 'Taiwan Semiconductor Facilities', 'Port of Los Angeles', 'German Automotive Region']","['Financial Collapse', 'Labor Strike']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0001,0.95,0.95,0.95,0.24,36.88,1.14,25,medium_term,1.0,high,1.5,3,0.7067,"['Panama Canal', 'Taiwan Semiconductor Facilities', 'Suez Canal']","['Labor Strike', 'Resource Shortage', 'Terrorist Attack']",['Root cause 0']
mock_scenario_0002,0.95,0.9,0.95,0.24,122.43,1.17,83,long_term,1.5,high,1.5,4,0.7867,"['Suez Canal', 'Port of Shanghai', 'Panama Canal', 'Strait of Hormuz']","['Extreme Weather', 'Labor Strike']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0003,0.95,0.95,0.95,0.24,132.75,1.235,90,long_term,1.5,medium,1.0,4,0.8533,"['Panama Canal', 'Port of Rotterdam', 'German Automotive Region', 'Australian Mining Region']","['Resource Shortage', 'Labor Strike', 'Extreme Weather']","['Root cause 0', 'Root cause 1']"
mock_scenario_0004,0.6375,0.55,0.6875,0.45,234.74,0.77,178,extended,2.0,low,0.5,2,0.6267,"['Port of Shanghai', 'Taiwan Semiconductor Facilities']","['Labor Strike', 'AI System Malfunction', 'Resource Shortage']",['Root cause 0']
mock_scenario_0005,0.95,0.95,0.95,0.24,48.68,1.235,33,long_term,1.5,extreme,2.0,4,0.8533,"['German Automotive Region', 'Strait of Hormuz', 'Shenzhen Manufacturing Hub', 'Port of Shanghai']","['Geopolitical Sanction', 'Terrorist Attack', 'AI System Malfunction']","['Root cause 0', 'Root cause 1']"
mock_scenario_0006,0.95,0.95,0.95,0.24,137.18,1.33,93,extended,2.0,high,1.5,4,0.92,"['Shenzhen Manufacturing Hub', 'Australian Mining Region', 'Port of Shanghai', 'Panama Canal']","['Financial Collapse', 'Geopolitical Sanction', 'Resource Shortage']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0007,0.4375,0.3,0.5125,0.59,168.19,0.42,138,extended,2.0,low,0.5,3,0.7067,"['Australian Mining Region', 'Strait of Hormuz', 'Panama Canal']","['AI System Malfunction', 'Labor Strike']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0008,0.4375,0.3,0.5125,0.59,168.19,0.42,138,extended,2.0,low,0.5,3,0.7733,"['German Automotive Region', 'Shenzhen Manufacturing Hub', 'Strait of Hormuz']","['AI System Malfunction', 'Labor Strike', 'Satellite Network Failure']","['Root cause 0', 'Root cause 1']"
mock_scenario_0009,0.95,0.95,0.95,0.24,227.15,1.33,154,extended,2.0,high,1.5,2,0.76,"['Port of Los Angeles', 'Taiwan Semiconductor Facilities']","['Infrastructure Failure', 'AI System Malfunction', 'Geopolitical Sanction']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0000,0.95,0.95,0.95,0.24,249.28,1.33,169,extended,2.0,extreme,2.0,4,0.6533,"['Taiwan Semiconductor Facilities', 'Australian Mining Region', 'Panama Canal', 'Port of Shanghai']","['Geopolitical Sanction', 'Financial Collapse']",['Root cause 0']
mock_scenario_0001,0.875,0.675,0.95,0.24,110.69,0.8775,77,long_term,1.5,medium,1.0,2,0.4933,"['Shenzhen Manufacturing Hub', 'Suez Canal']","['Terrorist Attack', 'Infrastructure Failure']",['Root cause 0']
mock_scenario_0002,0.4375,0.3375,0.5125,0.59,12.19,0.405,10,medium_term,1.0,low,0.5,4,0.72,"['Strait of Hormuz', 'Suez Canal', 'German Automotive Region', 'Shenzhen Manufacturing Hub']","['Financial Collapse', 'Infrastructure Failure']","['Root cause 0', 'Root cause 1']"
mock_scenario_0003,0.95,0.95,0.95,0.24,25.08,1.14,17,medium_term,1.0,extreme,2.0,4,0.6533,"['Australian Mining Region', 'German Automotive Region', 'Port of Shanghai', 'Panama Canal']","['Infrastructure Failure', 'Cyberattack']",['Root cause 0']
mock_scenario_0004,0.95,0.95,0.95,0.24,169.62,1.33,115,extended,2.0,high,1.5,3,0.84,"['Shenzhen Manufacturing Hub', 'Port of Los Angeles', 'Australian Mining Region']","['Labor Strike', 'Infrastructure Failure', 'Geopolitical Sanction']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0005,0.95,0.95,0.95,0.24,33.93,1.14,23,medium_term,1.0,high,1.5,2,0.6933,"['Shenzhen Manufacturing Hub', 'Port of Shanghai']","['Labor Strike', 'Geopolitical Sanction', 'Financial Collapse']","['Root cause 0', 'Root cause 1']"
mock_scenario_0006,0.7,0.4875,0.8125,0.35,233.55,0.6825,173,extended,2.0,low,0.5,2,0.4933,"['Port of Shanghai', 'Australian Mining Region']","['Cyberattack', 'Infrastructure Failure']",['Root cause 0']
mock_scenario_0007,0.95,0.95,0.95,0.24,88.5,1.235,60,long_term,1.5,high,1.5,4,0.92,"['Port of Shanghai', 'Panama Canal', 'Taiwan Semiconductor Facilities', 'Port of Rotterdam']","['Pandemic Outbreak', 'Labor Strike', 'AI System Malfunction']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0008,0.4375,0.3375,0.5125,0.59,180.38,0.4725,148,extended,2.0,low,0.5,3,0.7067,"['German Automotive Region', 'Strait of Hormuz', 'Taiwan Semiconductor Facilities']","['Extreme Weather', 'Infrastructure Failure']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
mock_scenario_0009,0.95,0.95,0.95,0.24,197.65,1.33,134,extended,2.0,extreme,2.0,2,0.76,"['German Automotive Region', 'Taiwan Semiconductor Facilities']","['Resource Shortage', 'Infrastructure Failure', 'Financial Collapse']","['Root cause 0', 'Root cause 1', 'Root cause 2']"
